Name,Symbol,Y_start,Y_end,Elev,Lat,Lon
Arbuckle Basin,CABS,1995,2022,1900,40.39833333333333,-122.83333333333331
Adin - Portable,CADI,-9999,-9999,-9999,-9999.0,-9999.0
Alder Springs,CALD,1994,2022,4300,39.65138888888889,-122.72361111111113
Alder Point,CAPT,1991,2022,923,40.18666666666666,-123.59027777777776
Ash Creek,CASC,1989,2022,3200,41.276944444444446,-121.97944444444444
Ash Valley,CASH,1991,2014,5100,41.051944444444445,-120.68611111111112
Atlas Peak,CATL,2005,2022,1934,38.47472222222223,-122.26472222222222
Backbone,CBAC,2000,2022,4700,40.88916666666667,-123.14222222222224
Bald Mtn Loc,CBAL,1989,2022,4680,38.90555555555555,-120.69722222222222
Burney Basin #1,CBB1,2010,2010,-9999,-9999.0,-9999.0
Burney Basin #2,CBB2,2010,2010,-9999,-9999.0,-9999.0
Burney Basin #3,CBB3,2010,2010,-9999,-9999.0,-9999.0
Burney Basin #4,CBB4,2010,2010,-9999,-9999.0,-9999.0
Burney Basin #5,CBB5,2010,2010,-9999,-9999.0,-9999.0
Big Bar,CBBR,1989,2022,1500,40.73333333333333,-123.23333333333332
Beckwourth,CBEC,1995,1996,5800,39.93833333333333,-120.56
Bangor,CBGR,1990,2022,803,39.3975,-121.38611111111112
Big Hill,CBIH,1997,2022,3570,41.0975,-123.63583333333334
Baker,CBKR,1990,1997,700,40.278888888888886,-122.48694444444445
Blue Door,CBLD,1991,2022,5615,41.05472222222222,-120.3375
Blacks Mountain,CBLM,2011,2022,5728,40.72444444444445,-121.17888888888888
Blue Ridge (KNF),CBLQ,2001,2022,5956,41.269444444444446,-123.1875
Blue Ridge,CBLR,1990,2005,4000,40.88916666666667,-123.14222222222224
Ben Bolt,CBLT,1990,2022,905,38.590833333333336,-120.93361111111112
Blue Mountain Lookout,CBML,2016,2022,-9999,-9999.0,-9999.0
Blacks Mtn - PSW,CBMN,1996,1998,6050,40.731388888888894,-121.11833333333333
Blue Mountain,CBMO,2011,2022,5740,41.82972222222222,-120.86305555555556
Bald Mountain PAL,CBMP,2008,2009,5670,38.13861111111111,-120.09194444444444
Brush Mountain,CBMT,2005,2022,3988,40.91555555555556,-123.66861111111112
Banner Road,CBNR,2014,2022,2803,38.28444444444444,-120.48972222222224
Bogard R.S.,CBOG,1992,2022,5650,40.59805555555556,-121.08305555555556
Bolam,CBOL,2007,2022,4453,41.53416666666666,-122.20861111111113
Boonville,CBOO,1990,2022,644,38.9875,-123.34861111111113
Boulder Cr Micro,CBOU,-9999,-9999,-9999,-9999.0,-9999.0
Bridgeport 4NW,CBR4,2002,2022,6650,38.27194444444444,-119.28916666666666
Bridgeport,CBRD,2002,2006,6480,38.27194444444444,-119.28916666666666
Bear Flat,CBRF,2003,2022,6200,41.295,-120.31333333333332
Baron,CBRN,2011,2022,6248,38.85416666666667,-120.02416666666666
Brooks,CBRO,1990,2022,354,38.73833333333334,-122.14472222222224
Bull Flat,CBUL,1991,2022,4395,40.48083333333334,-120.11388888888888
Butte Meadows,CBUT,1990,2000,4960,40.07888888888889,-121.5038888888889
Beaver Camp Loc,CBVR,1992,2022,5000,38.48833333333334,-120.325
Brazie Ranch,CBZE,1990,2022,3000,41.68527777777778,-122.59416666666668
Callahan,CCAL,1988,2022,3136,41.3075,-122.79583333333332
Canby,CCAN,1994,2015,4312,41.43416666666666,-120.86777777777776
Cold Creek,CCCK,2003,2004,6350,41.781666666666666,-120.31833333333331
CFA Raws,CCFA,2012,2022,660,38.38,-120.9302777777778
Callahan 2,CCH2,2003,2006,3911,41.3,-122.82444444444444
Chico,CCHC,1990,2014,230,39.71194444444445,-121.77888888888889
Challenge,CCHL,-9999,-9999,2557,39.48333333333333,-121.225
Chester,CCHS,1989,2022,4525,40.28972222222222,-121.08527777777778
Cold Springs,CCLD,2006,2022,6313,41.77555555555556,-120.33277777777778
Clover,CCLO,1997,2001,5760,39.86944444444445,-120.38194444444444
Camanche,CCMN,2002,2004,368,38.23111111111111,-121.0111111111111
Colby Mountain,CCMT,2015,2022,6262,40.145833333333336,-121.5225
Cohasset,CCOH,1990,2022,1733,39.87166666666667,-121.76888888888888
Collins Baldy,CCOL,1991,2022,5493,41.775,-122.9502777777778
Cooskie Mountain,CCOO,1985,2022,2950,40.25694444444444,-124.26611111111112
County Line,CCOU,1994,2022,2085,39.01888888888889,-122.41194444444444
Cow Mountain,CCOW,1995,1995,2180,39.187777777777775,-123.11944444444444
Coyote,CCOY,2006,2022,5548,39.98777777777778,-120.47666666666667
Camp 6,CCP6,2003,2007,3778,41.83083333333334,-123.87638888888888
Corning,CCRN,1998,2022,294,39.93888888888888,-122.16972222222223
Carpenter Ridge,CCRR,2000,2022,4812,40.06861111111112,-121.5825
Crazy Peak,CCRZ,1985,2022,3970,41.99194444444444,-123.6036111111111
Campo Seco,CCSC,2004,2022,399,38.22361111111111,-120.86638888888888
Cashman,CCSH,2001,2022,4520,40.001666666666665,-120.915
Camp Six,CCSX,2004,2022,3778,41.83083333333334,-123.87638888888888
Cow Mountain (A),CCWM,1985,1988,-9999,-9999.0,-9999.0
Davis,CDAV,2001,2001,6200,39.94166666666666,-120.55833333333334
Double Dome (Class III-9C),CDBD,2009,2010,-9999,-9999.0,-9999.0
Devils Garden,CDGR,1991,2022,5022,41.53,-120.6713888888889
D L Bliss S P,CDLB,2006,2009,6942,38.967777777777776,-120.1
Dog Valley,CDOG,2001,2022,5976,39.56194444444444,-120.04777777777778
Dorris Ranch,CDOR,1990,2002,2025,39.30361111111111,-121.1172222222222
Doublehead,CDOU,1997,1999,4000,41.625,-121.06777777777778
